card_issuer,card_number,name_on_card,expiry_date
American Express,3.40E+14,Karly M Soria,Aug-16
Master Card,5.31E+15,Ruby Holder,Oct-07
Diners Club International,3.09E+13,Omar W Hutto,May-07
Diners Club International,3.05E+13,Joe Tanner,Nov-11
Visa,4.30E+15,Vern F Weathers,Jul-13
Japan Credit Bureau,3.56E+15,Tyler F Burnett,Jun-10
Japan Credit Bureau,3.53E+15,Colin L Halcomb,Apr-09
Visa,4.65E+15,Elsie A Harding,Apr-07
American Express,3.73E+14,Hal Dietz,Jun-13
Visa,4.41E+15,Craig U Parsons,Jan-15
Master Card,5.34E+15,Cliff Q Carroll,Mar-10
Discover,6.48E+15,Melanie Dunlap,Jul-07
Diners Club International,3.05E+13,Santos Hutchison,Oct-14
Visa,4.67E+15,Anna J Kline,May-12
Japan Credit Bureau,3.59E+15,Lonna X Tribble,Sep-15
Diners Club International,4.00E+13,Jeanette Reynolds,Mar-09
Visa,4.04E+15,Leeann M Vandiver,Jul-07
Master Card,5.44E+15,Warren A Winters,Jan-07
American Express,3.75E+14,Lupe Luther,May-11
Visa,4.67E+15,Evelyn M Burgess,Jul-17
American Express,3.74E+14,Roselia Doran,Aug-15
Japan Credit Bureau,3.58E+15,John B Malone,Oct-16
Japan Credit Bureau,3.54E+15,Jimmie B Thatcher,Jul-08
Japan Credit Bureau,3.54E+15,Shirley Roman,Oct-08
Diners Club International,3.01E+13,Nakesha E Hamlin,Nov-07
Visa,4.59E+15,Victor U Daniels,Aug-08
Master Card,5.20E+15,Stanley R Morton,Oct-09
Diners Club International,3.02E+13,Martin X Powers,Aug-09
Diners Club International,3.02E+13,Raylene Z Boyer,Jun-10
American Express,3.40E+14,Wendy W Hayden,Aug-07
Diners Club International,3.01E+13,Jeremiah E Brinkley,Jul-17
American Express,3.75E+14,Alan W Wilder,Nov-09
Diners Club International,3.05E+13,Yan K Kunz,May-15
Visa,4.99E+15,Jacob X Humphrey,Nov-08
Visa,4.34E+15,Eilene T Curtin,Sep-12
Visa,4.38E+15,Aaron P Mcclain,Jun-14
Diners Club International,3.01E+13,Lonny Q Hooks,Oct-17
Discover,6.01E+15,Adam Morrow,Feb-17
Japan Credit Bureau,3.58E+15,Brendon R Mercier,Nov-12
Diners Club International,3.09E+13,Joanne Mccullough,Sep-08
Japan Credit Bureau,3.54E+15,Hubert O Bartholomew,Nov-08
American Express,3.80E+14,Martin Molina,Oct-09
Japan Credit Bureau,3.56E+15,Katheryn Wolf,Jun-16
Visa,4.42E+15,Crystal W Clark,Sep-11
Japan Credit Bureau,3.57E+15,Carroll B James,Mar-15
Master Card,5.33E+15,Teresa Glenn,Jan-14
Diners Club International,3.03E+13,Tomas O Guenther,Apr-07
Master Card,5.33E+15,Raymond O Page,Jun-13
Visa,4.25E+15,Yesenia Y Teague,Oct-08
Diners Club International,3.05E+13,Darrell W Harrison,Nov-15
Master Card,5.36E+15,Concepcion Scroggins,Aug-16
American Express,3.47E+14,Brandon L Bishop,Feb-07
Visa,4.22E+15,Booker U Sinclair,Jul-17
American Express,3.50E+14,Edward J Hall,May-17
Discover,6.01E+15,Darline Craddock,Oct-07
Visa,4.43E+15,Tiffany Wiggins,Jan-16
Visa,4.59E+15,Betty U Mckeown,Sep-16
Master Card,5.23E+15,Joyce E Mckenzie,Jul-08
Visa,4.53E+15,Vern X Ramsey,Nov-16
Discover,6.22E+15,Evelyn P Lawrence,Jun-15
Visa,4.57E+15,Evelyn Ligon,Apr-16
Diners Club International,3.04E+13,Shawn Mann,Aug-12
American Express,3.74E+14,Melva N Mota,Jan-17
Japan Credit Bureau,3.55E+15,Juanita R Turner,Feb-17
Diners Club International,3.10E+13,Dannie Martinson,Aug-12
Diners Club International,3.83E+13,Janet L Freeman,May-16
Japan Credit Bureau,3.56E+15,Hobert P Todd,Jun-08
Discover,6.45E+15,Nicholas Y Juarez,May-07
Master Card,5.14E+15,Anton Z Godwin,Jun-11
American Express,3.47E+14,Bernard Frazier,Jul-13
Discover,6.01E+15,Loida Z Halstead,Jan-12
Diners Club International,3.04E+13,Vernon U Sheppard,Jan-11
American Express,3.41E+14,Tashia F Steinberg,Nov-17
Master Card,5.21E+15,Paula S Sosa,Jan-11
Visa,4.85E+15,Zenia Clegg,Mar-07
Discover,6.01E+15,Matthew A Madden,Aug-16
Diners Club International,3.05E+13,Rheba L Castro,Nov-14
Master Card,5.12E+15,Rebecca A Sweet,Jul-13
Master Card,5.20E+15,Nilda A Kinard,Apr-11
Diners Club International,3.01E+13,Glen S Mccarty,Mar-17
Discover,6.01E+15,Len O Blanks,Jan-11
Discover,6.01E+15,Jessica O Whitley,Jul-11
American Express,3.75E+14,Wes Branson,Nov-12
Master Card,5.48E+15,Yolanda E Rutledge,Jan-14
Master Card,5.46E+15,Catheryn Cain,Aug-14
American Express,3.70E+14,Oscar Q Rodgers,Feb-13
American Express,3.42E+14,Valentine Humes,Jul-16
Diners Club International,3.06E+13,Miguel P Justice,May-11
Master Card,5.28E+15,Shanna U Hsu,Feb-17
Discover,6.23E+15,Juanita N Watts,Sep-14
Visa,4.96E+15,Nana J Wilbur,Sep-13
Japan Credit Bureau,3.58E+15,Sandra F Berry,May-11
Master Card,5.44E+15,Napoleon C Stephen,Jul-10
Discover,6.01E+15,Shirley Melendez,May-13
Japan Credit Bureau,3.59E+15,Bryce English,Jun-15
Japan Credit Bureau,3.57E+15,Carmen C Holden,May-15
Japan Credit Bureau,3.54E+15,Rosy X Kelly,Jun-15
Discover,6.22E+15,Roger F Gallegos,Nov-15
Diners Club International,3.95E+13,Jestine D Hannan,Oct-07
American Express,3.43E+14,Amanda Nolan,May-11
